Ejecución,Cantidad_Contenedores,Cantidad_Camiones,Capacidad_Camion,Horario,Mejor_Solucion,Evaluacion_Final,Evaluacion_Trayecto,Evaluacion_Carga,Evaluacion_Tiempo
1,101,14,112,"['08:00:00', '16:00:00']","[[[[(35, 35), 0], [(40, 60), 21], [(31, 52), 27], [(45, 30), 17], [(26, 52), 9], [(10, 43), 9], [(15, 19), 1], [(13, 52), 36], [(15, 77), 9], [(49, 58), 10], [(49, 42), 13], [(49, 73), 25], [(25, 30), 3], [(31, 67), 3], [(49, 11), 18], [(25, 21), 12], [(4, 18), 35], [(55, 5), 29], [(40, 25), 9], [(26, 35), 15], [(55, 20), 19], [(65, 35), 3], [(10, 20), 19], [(53, 52), 11], [(23, 3), 7], [(27, 69), 10], [(57, 68), 15], [(30, 25), 23], [(35, 40), 16], [(55, 54), 26], [(21, 24), 28], [(6, 68), 30], [(53, 12), 6], [(63, 23), 2], [(6, 38), 16], [(53, 43), 14], [(30, 5), 8], [(15, 60), 17], [(35, 17), 7], [(50, 35), 19], [(15, 47), 16], [(20, 50), 5], [(24, 12), 5], [(67, 5), 25], [(45, 65), 9], [(62, 77), 20], [(28, 18), 26], [(30, 60), 16], [(20, 20), 8], [(18, 24), 22], [(22, 27), 11], [(16, 22), 41], [(60, 12), 31], [(41, 37), 16], [(37, 47), 6], [(65, 20), 6], [(24, 58), 19], [(65, 55), 14], [(37, 31), 14], [(19, 21), 10], [(57, 29), 18], [(8, 56), 27], [(2, 48), 1], [(32, 12), 7], [(20, 65), 12], [(20, 26), 9], [(27, 43), 9], [(2, 60), 5], [(26, 27), 27], [(56, 37), 6], [(17, 34), 3], [(57, 48), 23], [(44, 17), 9], [(5, 5), 16], [(15, 10), 20], [(55, 60), 16], [(14, 37), 11], [(47, 16), 25], [(45, 20), 11], [(63, 65), 8], [(20, 40), 12], [(61, 52), 3], [(55, 45), 13], [(18, 18), 17], [(45, 10), 18], [(36, 26), 18], [(47, 47), 13], [(37, 56), 5], [(35, 69), 23], [(56, 39), 36], [(15, 30), 26], [(25, 24), 20], [(46, 13), 8], [(11, 31), 7], [(41, 49), 10], [(64, 42), 9], [(42, 7), 5], [(11, 14), 18], [(22, 22), 2], [(35, 35), 0]], (datetime.time(8, 0), datetime.time(8, 34, 17, 142857)), '08:23:25'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(8, 34, 17, 142857), datetime.time(9, 8, 34, 285714)), '12:41:11'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(9, 8, 34, 285714), datetime.time(9, 42, 51, 428571)), '09:30:08'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(9, 42, 51, 428571), datetime.time(10, 17, 8, 571428)), '10:18:37'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(10, 17, 8, 571428), datetime.time(10, 51, 25, 714285)), '12:58:30'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(10, 51, 25, 714285), datetime.time(11, 25, 42, 857142)), '15:57:16'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 25, 42, 857142), datetime.time(11, 59, 59, 999999)), '12:53:26'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 59, 59, 999999), datetime.time(12, 34, 17, 142856)), '15:53:16'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(12, 34, 17, 142856), datetime.time(13, 8, 34, 285713)), '15:47:28'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 8, 34, 285713), datetime.time(13, 42, 51, 428570)), '15:42:46'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 42, 51, 428570), datetime.time(14, 17, 8, 571427)), '14:46:14'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 17, 8, 571427), datetime.time(14, 51, 25, 714284)), '15:35:47'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 51, 25, 714284), datetime.time(15, 25, 42, 857141)), '15:58:58'], [[[(35, 35), 0], [(5, 30), 2], [(12, 24), 13], [(35, 35), 0]], (datetime.time(15, 25, 42, 857141), datetime.time(15, 59, 59, 999998)), '15:30:32']]",3166832.9000241063,3228.335413857972,1444458,11014
2,101,14,112,"['08:00:00', '16:00:00']","[[[[(35, 35), 0], [(15, 30), 26], [(26, 27), 27], [(42, 7), 5], [(53, 12), 6], [(21, 24), 28], [(35, 69), 23], [(55, 60), 16], [(12, 24), 13], [(55, 20), 19], [(17, 34), 3], [(41, 37), 16], [(25, 21), 12], [(64, 42), 9], [(35, 40), 16], [(55, 5), 29], [(56, 39), 36], [(45, 10), 18], [(16, 22), 41], [(60, 12), 31], [(11, 31), 7], [(10, 20), 19], [(63, 23), 2], [(30, 5), 8], [(46, 13), 8], [(45, 30), 17], [(27, 43), 9], [(61, 52), 3], [(31, 52), 27], [(8, 56), 27], [(65, 55), 14], [(50, 35), 19], [(15, 47), 16], [(49, 42), 13], [(53, 52), 11], [(30, 60), 16], [(5, 30), 2], [(55, 45), 13], [(28, 18), 26], [(49, 73), 25], [(14, 37), 11], [(57, 48), 23], [(15, 19), 1], [(56, 37), 6], [(23, 3), 7], [(19, 21), 10], [(49, 58), 10], [(22, 27), 11], [(20, 40), 12], [(27, 69), 10], [(47, 47), 13], [(41, 49), 10], [(31, 67), 3], [(30, 25), 23], [(44, 17), 9], [(25, 24), 20], [(2, 60), 5], [(24, 58), 19], [(18, 24), 22], [(45, 20), 11], [(65, 35), 3], [(40, 60), 21], [(22, 22), 2], [(10, 43), 9], [(47, 16), 25], [(4, 18), 35], [(67, 5), 25], [(26, 35), 15], [(18, 18), 17], [(24, 12), 5], [(65, 20), 6], [(37, 56), 5], [(45, 65), 9], [(11, 14), 18], [(26, 52), 9], [(20, 26), 9], [(15, 60), 17], [(53, 43), 14], [(6, 68), 30], [(20, 20), 8], [(40, 25), 9], [(37, 31), 14], [(57, 29), 18], [(55, 54), 26], [(5, 5), 16], [(2, 48), 1], [(57, 68), 15], [(36, 26), 18], [(6, 38), 16], [(62, 77), 20], [(32, 12), 7], [(35, 17), 7], [(20, 50), 5], [(37, 47), 6], [(20, 65), 12], [(63, 65), 8], [(13, 52), 36], [(35, 35), 0]], (datetime.time(8, 0), datetime.time(8, 34, 17, 142857)), '08:01:19'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(8, 34, 17, 142857), datetime.time(9, 8, 34, 285714)), '13:21:53'], [[[(35, 35), 0], [(15, 10), 20], [(35, 35), 0]], (datetime.time(9, 8, 34, 285714), datetime.time(9, 42, 51, 428571)), '11:43:46'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(9, 42, 51, 428571), datetime.time(10, 17, 8, 571428)), '14:15:29'], [[[(35, 35), 0], [(15, 77), 9], [(35, 35), 0]], (datetime.time(10, 17, 8, 571428), datetime.time(10, 51, 25, 714285)), '10:21:00'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(10, 51, 25, 714285), datetime.time(11, 25, 42, 857142)), '14:54:39'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 25, 42, 857142), datetime.time(11, 59, 59, 999999)), '15:52:36'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 59, 59, 999999), datetime.time(12, 34, 17, 142856)), '15:30:03'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(12, 34, 17, 142856), datetime.time(13, 8, 34, 285713)), '14:46:49'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 8, 34, 285713), datetime.time(13, 42, 51, 428570)), '14:22:01'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 42, 51, 428570), datetime.time(14, 17, 8, 571427)), '15:26:17'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 17, 8, 571427), datetime.time(14, 51, 25, 714284)), '14:42:36'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 51, 25, 714284), datetime.time(15, 25, 42, 857141)), '15:03:58'], [[[(35, 35), 0], [(25, 30), 3], [(49, 11), 18], [(35, 35), 0]], (datetime.time(15, 25, 42, 857141), datetime.time(15, 59, 59, 999998)), '15:39:27']]",3164296.517345608,3366.257795343737,1409458,9014
3,101,14,112,"['08:00:00', '16:00:00']","[[[[(35, 35), 0], [(63, 23), 2], [(65, 35), 3], [(27, 69), 10], [(13, 52), 36], [(65, 55), 14], [(36, 26), 18], [(55, 60), 16], [(65, 20), 6], [(45, 30), 17], [(28, 18), 26], [(15, 19), 1], [(6, 68), 30], [(17, 34), 3], [(16, 22), 41], [(45, 65), 9], [(23, 3), 7], [(20, 40), 12], [(24, 58), 19], [(49, 42), 13], [(15, 30), 26], [(5, 30), 2], [(26, 27), 27], [(11, 14), 18], [(22, 27), 11], [(45, 10), 18], [(40, 25), 9], [(57, 68), 15], [(49, 11), 18], [(37, 56), 5], [(25, 21), 12], [(41, 49), 10], [(10, 20), 19], [(25, 30), 3], [(41, 37), 16], [(64, 42), 9], [(11, 31), 7], [(57, 48), 23], [(47, 47), 13], [(20, 20), 8], [(27, 43), 9], [(37, 47), 6], [(42, 7), 5], [(60, 12), 31], [(19, 21), 10], [(18, 18), 17], [(49, 58), 10], [(22, 22), 2], [(20, 65), 12], [(46, 13), 8], [(53, 52), 11], [(61, 52), 3], [(2, 48), 1], [(26, 35), 15], [(15, 47), 16], [(26, 52), 9], [(55, 45), 13], [(44, 17), 9], [(45, 20), 11], [(57, 29), 18], [(8, 56), 27], [(10, 43), 9], [(20, 50), 5], [(2, 60), 5], [(21, 24), 28], [(37, 31), 14], [(55, 20), 19], [(18, 24), 22], [(15, 60), 17], [(35, 69), 23], [(67, 5), 25], [(55, 54), 26], [(35, 40), 16], [(24, 12), 5], [(49, 73), 25], [(31, 67), 3], [(56, 39), 36], [(35, 17), 7], [(53, 43), 14], [(15, 77), 9], [(30, 25), 23], [(31, 52), 27], [(62, 77), 20], [(47, 16), 25], [(30, 60), 16], [(53, 12), 6], [(20, 26), 9], [(30, 5), 8], [(50, 35), 19], [(55, 5), 29], [(4, 18), 35], [(6, 38), 16], [(14, 37), 11], [(56, 37), 6], [(15, 10), 20], [(25, 24), 20], [(5, 5), 16], [(12, 24), 13], [(32, 12), 7], [(35, 35), 0]], (datetime.time(8, 0), datetime.time(8, 34, 17, 142857)), '08:10:59'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(8, 34, 17, 142857), datetime.time(9, 8, 34, 285714)), '14:49:34'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(9, 8, 34, 285714), datetime.time(9, 42, 51, 428571)), '10:20:09'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(9, 42, 51, 428571), datetime.time(10, 17, 8, 571428)), '14:08:55'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(10, 17, 8, 571428), datetime.time(10, 51, 25, 714285)), '11:24:16'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(10, 51, 25, 714285), datetime.time(11, 25, 42, 857142)), '15:10:36'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 25, 42, 857142), datetime.time(11, 59, 59, 999999)), '15:57:20'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 59, 59, 999999), datetime.time(12, 34, 17, 142856)), '15:21:20'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(12, 34, 17, 142856), datetime.time(13, 8, 34, 285713)), '14:04:10'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 8, 34, 285713), datetime.time(13, 42, 51, 428570)), '15:14:53'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 42, 51, 428570), datetime.time(14, 17, 8, 571427)), '15:41:34'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 17, 8, 571427), datetime.time(14, 51, 25, 714284)), '15:03:18'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 51, 25, 714284), datetime.time(15, 25, 42, 857141)), '15:39:37'], [[[(35, 35), 0], [(63, 65), 8], [(40, 60), 21], [(35, 35), 0]], (datetime.time(15, 25, 42, 857141), datetime.time(15, 59, 59, 999998)), '15:26:39']]",3175499.851227741,3214.38521725273,1430458,12014
4,101,14,112,"['08:00:00', '16:00:00']","[[[[(35, 35), 0], [(15, 77), 9], [(6, 68), 30], [(20, 65), 12], [(44, 17), 9], [(18, 18), 17], [(36, 26), 18], [(63, 65), 8], [(11, 31), 7], [(28, 18), 26], [(45, 10), 18], [(35, 17), 7], [(6, 38), 16], [(49, 42), 13], [(17, 34), 3], [(64, 42), 9], [(31, 67), 3], [(37, 31), 14], [(14, 37), 11], [(55, 5), 29], [(25, 24), 20], [(65, 20), 6], [(37, 56), 5], [(49, 11), 18], [(26, 27), 27], [(10, 20), 19], [(13, 52), 36], [(5, 5), 16], [(40, 25), 9], [(10, 43), 9], [(22, 27), 11], [(49, 58), 10], [(8, 56), 27], [(15, 19), 1], [(11, 14), 18], [(35, 40), 16], [(57, 29), 18], [(35, 69), 23], [(50, 35), 19], [(62, 77), 20], [(20, 40), 12], [(41, 49), 10], [(41, 37), 16], [(57, 48), 23], [(20, 20), 8], [(20, 50), 5], [(56, 37), 6], [(47, 16), 25], [(32, 12), 7], [(15, 30), 26], [(60, 12), 31], [(56, 39), 36], [(37, 47), 6], [(40, 60), 21], [(55, 45), 13], [(57, 68), 15], [(20, 26), 9], [(30, 25), 23], [(19, 21), 10], [(49, 73), 25], [(42, 7), 5], [(26, 52), 9], [(53, 52), 11], [(30, 60), 16], [(4, 18), 35], [(2, 48), 1], [(27, 69), 10], [(45, 30), 17], [(24, 12), 5], [(45, 65), 9], [(24, 58), 19], [(26, 35), 15], [(16, 22), 41], [(35, 35), 0]], (datetime.time(8, 0), datetime.time(8, 34, 17, 142857)), '08:07:44'], [[[(35, 35), 0], [(47, 47), 13], [(61, 52), 3], [(21, 24), 28], [(55, 54), 26], [(55, 60), 16], [(25, 30), 3], [(31, 52), 27], [(63, 23), 2], [(18, 24), 22], [(12, 24), 13], [(65, 55), 14], [(46, 13), 8], [(15, 10), 20], [(55, 20), 19], [(25, 21), 12], [(30, 5), 8], [(2, 60), 5], [(22, 22), 2], [(15, 60), 17], [(53, 12), 6], [(15, 47), 16], [(5, 30), 2], [(23, 3), 7], [(67, 5), 25], [(65, 35), 3], [(53, 43), 14], [(35, 35), 0]], (datetime.time(8, 34, 17, 142857), datetime.time(9, 8, 34, 285714)), '08:40:06'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(9, 8, 34, 285714), datetime.time(9, 42, 51, 428571)), '13:29:19'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(9, 42, 51, 428571), datetime.time(10, 17, 8, 571428)), '15:12:40'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(10, 17, 8, 571428), datetime.time(10, 51, 25, 714285)), '14:24:42'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(10, 51, 25, 714285), datetime.time(11, 25, 42, 857142)), '11:47:34'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 25, 42, 857142), datetime.time(11, 59, 59, 999999)), '11:34:36'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 59, 59, 999999), datetime.time(12, 34, 17, 142856)), '13:57:57'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(12, 34, 17, 142856), datetime.time(13, 8, 34, 285713)), '15:26:01'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 8, 34, 285713), datetime.time(13, 42, 51, 428570)), '13:12:58'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 42, 51, 428570), datetime.time(14, 17, 8, 571427)), '14:25:56'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 17, 8, 571427), datetime.time(14, 51, 25, 714284)), '14:52:09'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 51, 25, 714284), datetime.time(15, 25, 42, 857141)), '15:33:42'], [[[(35, 35), 0], [(45, 20), 11], [(27, 43), 9], [(35, 35), 0]], (datetime.time(15, 25, 42, 857141), datetime.time(15, 59, 59, 999998)), '15:54:37']]",3161548.5310033537,3229.0011739886763,1439458,9014
5,101,14,112,"['08:00:00', '16:00:00']","[[[[(35, 35), 0], [(27, 69), 10], [(45, 65), 9], [(40, 25), 9], [(56, 37), 6], [(28, 18), 26], [(30, 5), 8], [(65, 55), 14], [(53, 12), 6], [(61, 52), 3], [(17, 34), 3], [(10, 20), 19], [(64, 42), 9], [(23, 3), 7], [(60, 12), 31], [(24, 58), 19], [(19, 21), 10], [(55, 45), 13], [(57, 68), 15], [(37, 47), 6], [(55, 20), 19], [(47, 16), 25], [(12, 24), 13], [(20, 26), 9], [(47, 47), 13], [(14, 37), 11], [(46, 13), 8], [(65, 35), 3], [(26, 35), 15], [(6, 38), 16], [(15, 19), 1], [(40, 60), 21], [(18, 24), 22], [(31, 52), 27], [(6, 68), 30], [(21, 24), 28], [(5, 5), 16], [(26, 52), 9], [(30, 60), 16], [(55, 54), 26], [(18, 18), 17], [(24, 12), 5], [(27, 43), 9], [(37, 31), 14], [(62, 77), 20], [(8, 56), 27], [(55, 60), 16], [(65, 20), 6], [(10, 43), 9], [(15, 10), 20], [(53, 43), 14], [(57, 29), 18], [(31, 67), 3], [(15, 30), 26], [(49, 58), 10], [(11, 14), 18], [(42, 7), 5], [(63, 65), 8], [(35, 69), 23], [(49, 11), 18], [(44, 17), 9], [(2, 48), 1], [(26, 27), 27], [(35, 40), 16], [(36, 26), 18], [(2, 60), 5], [(49, 42), 13], [(13, 52), 36], [(5, 30), 2], [(16, 22), 41], [(57, 48), 23], [(15, 47), 16], [(55, 5), 29], [(20, 20), 8], [(37, 56), 5], [(20, 65), 12], [(35, 17), 7], [(45, 30), 17], [(53, 52), 11], [(22, 22), 2], [(41, 49), 10], [(45, 10), 18], [(25, 24), 20], [(15, 60), 17], [(30, 25), 23], [(35, 35), 0]], (datetime.time(8, 0), datetime.time(8, 34, 17, 142857)), '08:31:32'], [[[(35, 35), 0], [(20, 50), 5], [(25, 30), 3], [(67, 5), 25], [(32, 12), 7], [(63, 23), 2], [(25, 21), 12], [(56, 39), 36], [(50, 35), 19], [(41, 37), 16], [(49, 73), 25], [(22, 27), 11], [(11, 31), 7], [(20, 40), 12], [(4, 18), 35], [(35, 35), 0]], (datetime.time(8, 34, 17, 142857), datetime.time(9, 8, 34, 285714)), '09:02:26'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(9, 8, 34, 285714), datetime.time(9, 42, 51, 428571)), '10:49:34'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(9, 42, 51, 428571), datetime.time(10, 17, 8, 571428)), '10:03:00'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(10, 17, 8, 571428), datetime.time(10, 51, 25, 714285)), '15:55:47'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(10, 51, 25, 714285), datetime.time(11, 25, 42, 857142)), '14:05:35'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 25, 42, 857142), datetime.time(11, 59, 59, 999999)), '12:27:54'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(11, 59, 59, 999999), datetime.time(12, 34, 17, 142856)), '15:31:56'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(12, 34, 17, 142856), datetime.time(13, 8, 34, 285713)), '14:16:21'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 8, 34, 285713), datetime.time(13, 42, 51, 428570)), '15:59:08'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(13, 42, 51, 428570), datetime.time(14, 17, 8, 571427)), '15:28:55'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 17, 8, 571427), datetime.time(14, 51, 25, 714284)), '15:37:16'], [[[(35, 35), 0], [(35, 35), 0]], (datetime.time(14, 51, 25, 714284), datetime.time(15, 25, 42, 857141)), '15:36:52'], [[[(35, 35), 0], [(45, 20), 11], [(15, 77), 9], [(35, 35), 0]], (datetime.time(15, 25, 42, 857141), datetime.time(15, 59, 59, 999998)), '15:42:33']]",3154077.7426272766,3304.623698582128,1439458,10014
