Ejecución,Cantidad_Contenedores,Cantidad_Camiones,Capacidad_Camion,Horario,Mejor_Solucion,Evaluacion_Final,Evaluacion_Trayecto,Evaluacion_Carga,Evaluacion_Tiempo
1,32,5,100,"['08:00:00', '16:00:00']","[[[[(82, 76), 0], [(98, 14), 12], [(80, 55), 2], [(96, 44), 19], [(84, 39), 16], [(20, 70), 2], [(85, 60), 14], [(84, 25), 16], [(82, 76), 0]], (datetime.time(8, 0), datetime.time(9, 36)), '08:09:04'], [[[(82, 76), 0], [(98, 52), 21], [(50, 5), 21], [(61, 62), 24], [(49, 8), 6], [(82, 76), 0]], (datetime.time(9, 36), datetime.time(11, 12)), '10:27:36'], [[[(82, 76), 0], [(1, 65), 22], [(82, 76), 0]], (datetime.time(11, 12), datetime.time(12, 48)), '15:37:28'], [[[(82, 76), 0], [(5, 42), 4], [(82, 76), 0]], (datetime.time(12, 48), datetime.time(14, 24)), '13:17:23'], [[[(82, 76), 0], [(91, 2), 19], [(88, 51), 18], [(61, 59), 3], [(93, 3), 24], [(5, 10), 14], [(2, 39), 16], [(50, 93), 8], [(19, 32), 1], [(9, 97), 24], [(23, 15), 15], [(42, 9), 8], [(57, 69), 20], [(13, 7), 19], [(58, 30), 12], [(98, 5), 9], [(29, 89), 7], [(14, 24), 6], [(3, 82), 8], [(82, 76), 0]], (datetime.time(14, 24), datetime.time(16, 0)), '15:48:18']]",1388517.456321591,2244.312797269725,231410,1005
2,32,5,100,"['08:00:00', '16:00:00']","[[[[(82, 76), 0], [(91, 2), 19], [(19, 32), 1], [(88, 51), 18], [(50, 5), 21], [(50, 93), 8], [(58, 30), 12], [(96, 44), 19], [(23, 15), 15], [(84, 25), 16], [(42, 9), 8], [(80, 55), 2], [(49, 8), 6], [(14, 24), 6], [(98, 5), 9], [(93, 3), 24], [(61, 62), 24], [(82, 76), 0]], (datetime.time(8, 0), datetime.time(9, 36)), '09:23:22'], [[[(82, 76), 0], [(85, 60), 14], [(2, 39), 16], [(82, 76), 0]], (datetime.time(9, 36), datetime.time(11, 12)), '11:03:10'], [[[(82, 76), 0], [(98, 14), 12], [(5, 10), 14], [(29, 89), 7], [(1, 65), 22], [(9, 97), 24], [(61, 59), 3], [(3, 82), 8], [(82, 76), 0]], (datetime.time(11, 12), datetime.time(12, 48)), '11:31:06'], [[[(82, 76), 0], [(98, 52), 21], [(82, 76), 0]], (datetime.time(12, 48), datetime.time(14, 24)), '14:54:49'], [[[(82, 76), 0], [(5, 42), 4], [(57, 69), 20], [(84, 39), 16], [(13, 7), 19], [(20, 70), 2], [(82, 76), 0]], (datetime.time(14, 24), datetime.time(16, 0)), '14:33:23']]",1174654.4076857958,2220.7348026440627,208410,1005
3,32,5,100,"['08:00:00', '16:00:00']","[[[[(82, 76), 0], [(84, 39), 16], [(80, 55), 2], [(14, 24), 6], [(98, 14), 12], [(50, 93), 8], [(49, 8), 6], [(61, 59), 3], [(50, 5), 21], [(1, 65), 22], [(98, 52), 21], [(29, 89), 7], [(5, 42), 4], [(85, 60), 14], [(93, 3), 24], [(82, 76), 0]], (datetime.time(8, 0), datetime.time(9, 36)), '08:00:10'], [[[(82, 76), 0], [(42, 9), 8], [(9, 97), 24], [(57, 69), 20], [(20, 70), 2], [(5, 10), 14], [(82, 76), 0]], (datetime.time(9, 36), datetime.time(11, 12)), '14:03:43'], [[[(82, 76), 0], [(91, 2), 19], [(23, 15), 15], [(84, 25), 16], [(3, 82), 8], [(82, 76), 0]], (datetime.time(11, 12), datetime.time(12, 48)), '12:23:18'], [[[(82, 76), 0], [(88, 51), 18], [(98, 5), 9], [(19, 32), 1], [(58, 30), 12], [(82, 76), 0]], (datetime.time(12, 48), datetime.time(14, 24)), '12:59:49'], [[[(82, 76), 0], [(2, 39), 16], [(61, 62), 24], [(13, 7), 19], [(96, 44), 19], [(82, 76), 0]], (datetime.time(14, 24), datetime.time(16, 0)), '14:35:56']]",1307695.4059639913,2197.679655040182,166410,1005
4,32,5,100,"['08:00:00', '16:00:00']","[[[[(82, 76), 0], [(29, 89), 7], [(49, 8), 6], [(80, 55), 2], [(61, 62), 24], [(9, 97), 24], [(14, 24), 6], [(88, 51), 18], [(42, 9), 8], [(13, 7), 19], [(1, 65), 22], [(19, 32), 1], [(84, 25), 16], [(58, 30), 12], [(82, 76), 0]], (datetime.time(8, 0), datetime.time(9, 36)), '08:31:43'], [[[(82, 76), 0], [(93, 3), 24], [(5, 10), 14], [(96, 44), 19], [(82, 76), 0]], (datetime.time(9, 36), datetime.time(11, 12)), '10:43:13'], [[[(82, 76), 0], [(5, 42), 4], [(61, 59), 3], [(50, 93), 8], [(98, 14), 12], [(50, 5), 21], [(98, 52), 21], [(82, 76), 0]], (datetime.time(11, 12), datetime.time(12, 48)), '15:39:11'], [[[(82, 76), 0], [(20, 70), 2], [(23, 15), 15], [(3, 82), 8], [(2, 39), 16], [(82, 76), 0]], (datetime.time(12, 48), datetime.time(14, 24)), '13:39:18'], [[[(82, 76), 0], [(85, 60), 14], [(84, 39), 16], [(57, 69), 20], [(98, 5), 9], [(91, 2), 19], [(82, 76), 0]], (datetime.time(14, 24), datetime.time(16, 0)), '14:46:20']]",1208190.9567175554,2231.458364586108,165410,1005
5,32,5,100,"['08:00:00', '16:00:00']","[[[[(82, 76), 0], [(20, 70), 2], [(84, 25), 16], [(57, 69), 20], [(88, 51), 18], [(19, 32), 1], [(9, 97), 24], [(82, 76), 0]], (datetime.time(8, 0), datetime.time(9, 36)), '12:57:16'], [[[(82, 76), 0], [(5, 42), 4], [(13, 7), 19], [(98, 14), 12], [(49, 8), 6], [(61, 62), 24], [(1, 65), 22], [(82, 76), 0]], (datetime.time(9, 36), datetime.time(11, 12)), '15:40:18'], [[[(82, 76), 0], [(91, 2), 19], [(98, 5), 9], [(2, 39), 16], [(50, 5), 21], [(82, 76), 0]], (datetime.time(11, 12), datetime.time(12, 48)), '14:51:27'], [[[(82, 76), 0], [(58, 30), 12], [(23, 15), 15], [(84, 39), 16], [(14, 24), 6], [(98, 52), 21], [(42, 9), 8], [(5, 10), 14], [(82, 76), 0]], (datetime.time(12, 48), datetime.time(14, 24)), '13:18:01'], [[[(82, 76), 0], [(93, 3), 24], [(61, 59), 3], [(80, 55), 2], [(3, 82), 8], [(85, 60), 14], [(29, 89), 7], [(50, 93), 8], [(96, 44), 19], [(82, 76), 0]], (datetime.time(14, 24), datetime.time(16, 0)), '15:50:48']]",1289014.5153635382,2210.899818982852,410,3005
6,32,5,100,"['12:12:12', '16:12:12']","[[[[(82, 76), 0], [(98, 14), 12], [(84, 25), 16], [(57, 69), 20], [(20, 70), 2], [(58, 30), 12], [(1, 65), 22], [(82, 76), 0]], (datetime.time(12, 12, 12), datetime.time(13, 0, 12)), '12:53:05'], [[[(82, 76), 0], [(50, 5), 21], [(61, 62), 24], [(9, 97), 24], [(5, 42), 4], [(3, 82), 8], [(19, 32), 1], [(42, 9), 8], [(23, 15), 15], [(88, 51), 18], [(14, 24), 6], [(49, 8), 6], [(84, 39), 16], [(80, 55), 2], [(98, 5), 9], [(5, 10), 14], [(2, 39), 16], [(82, 76), 0]], (datetime.time(13, 0, 12), datetime.time(13, 48, 12)), '13:40:03'], [[[(82, 76), 0], [(29, 89), 7], [(82, 76), 0]], (datetime.time(13, 48, 12), datetime.time(14, 36, 12)), '14:27:28'], [[[(82, 76), 0], [(85, 60), 14], [(91, 2), 19], [(82, 76), 0]], (datetime.time(14, 36, 12), datetime.time(15, 24, 12)), '14:42:13'], [[[(82, 76), 0], [(96, 44), 19], [(13, 7), 19], [(93, 3), 24], [(61, 59), 3], [(50, 93), 8], [(98, 52), 21], [(82, 76), 0]], (datetime.time(15, 24, 12), datetime.time(16, 12, 12)), '15:29:56']]",1007854.8574013154,2260.8010264057584,192410,5
