Ejecución,Cantidad_Contenedores,Cantidad_Camiones,Capacidad_Camion,Horario,Mejor_Solucion,Evaluacion_Final,Evaluacion_Trayecto,Evaluacion_Carga,Evaluacion_Tiempo
1,63,10,100,"['08:00:00', '16:00:00']","[[[[(76, 75), 0], [(16, 89), 2], [(71, 35), 7], [(61, 70), 26], [(19, 11), 21], [(40, 49), 17], [(31, 41), 22], [(65, 85), 11], [(19, 71), 21], [(21, 15), 15], [(71, 41), 20], [(20, 71), 16], [(60, 34), 17], [(34, 36), 21], [(61, 54), 2], [(1, 40), 26], [(41, 75), 16], [(95, 45), 22], [(21, 85), 10], [(41, 55), 1], [(56, 80), 6], [(79, 81), 16], [(55, 25), 20], [(60, 14), 11], [(91, 14), 26], [(30, 45), 63], [(35, 100), 15], [(75, 80), 21], [(75, 16), 1], [(20, 0), 17], [(40, 51), 5], [(6, 55), 25], [(85, 76), 26], [(56, 81), 1], [(41, 1), 22], [(34, 50), 17], [(60, 54), 25], [(15, 91), 12], [(65, 54), 6], [(36, 61), 12], [(80, 36), 12], [(69, 50), 12], [(86, 31), 5], [(46, 1), 16], [(61, 94), 15], [(76, 90), 17], [(76, 75), 0]], (datetime.time(8, 0), datetime.time(8, 48)), '08:39:25'], [[[(76, 75), 0], [(41, 44), 10], [(21, 11), 22], [(51, 91), 12], [(75, 14), 2], [(60, 94), 25], [(40, 96), 25], [(39, 35), 21], [(99, 91), 10], [(46, 5), 20], [(70, 95), 17], [(74, 99), 16], [(25, 76), 6], [(55, 10), 2], [(100, 26), 5], [(25, 86), 11], [(76, 75), 0]], (datetime.time(8, 48), datetime.time(9, 36)), '09:30:04'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(9, 36), datetime.time(10, 24)), '14:24:42'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(10, 24), datetime.time(11, 12)), '11:39:39'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(11, 12), datetime.time(12, 0)), '13:14:08'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(12, 0), datetime.time(12, 48)), '13:18:27'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(12, 48), datetime.time(13, 36)), '14:53:04'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(13, 36), datetime.time(14, 24)), '15:56:30'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(14, 24), datetime.time(15, 12)), '15:38:58'], [[[(76, 75), 0], [(94, 45), 5], [(100, 6), 6], [(76, 75), 0]], (datetime.time(15, 12), datetime.time(16, 0)), '15:45:37']]",3002220.2736444604,3247.9925200184443,921932,7010
2,63,10,100,"['08:00:00', '16:00:00']","[[[[(76, 75), 0], [(100, 26), 5], [(25, 76), 6], [(41, 1), 22], [(60, 54), 25], [(75, 14), 2], [(91, 14), 26], [(39, 35), 21], [(99, 91), 10], [(61, 94), 15], [(69, 50), 12], [(51, 91), 12], [(55, 25), 20], [(71, 41), 20], [(60, 14), 11], [(65, 54), 6], [(75, 16), 1], [(41, 75), 16], [(15, 91), 12], [(79, 81), 16], [(40, 51), 5], [(30, 45), 63], [(20, 0), 17], [(35, 100), 15], [(61, 54), 2], [(6, 55), 25], [(46, 1), 16], [(65, 85), 11], [(56, 81), 1], [(19, 11), 21], [(20, 71), 16], [(21, 85), 10], [(21, 11), 22], [(95, 45), 22], [(60, 34), 17], [(76, 90), 17], [(75, 80), 21], [(80, 36), 12], [(40, 49), 17], [(19, 71), 21], [(21, 15), 15], [(86, 31), 5], [(85, 76), 26], [(70, 95), 17], [(41, 55), 1], [(60, 94), 25], [(41, 44), 10], [(36, 61), 12], [(55, 10), 2], [(61, 70), 26], [(74, 99), 16], [(31, 41), 22], [(34, 50), 17], [(71, 35), 7], [(100, 6), 6], [(46, 5), 20], [(34, 36), 21], [(25, 86), 11], [(40, 96), 25], [(76, 75), 0]], (datetime.time(8, 0), datetime.time(8, 48)), '08:25:52'], [[[(76, 75), 0], [(16, 89), 2], [(94, 45), 5], [(76, 75), 0]], (datetime.time(8, 48), datetime.time(9, 36)), '08:50:56'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(9, 36), datetime.time(10, 24)), '15:06:11'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(10, 24), datetime.time(11, 12)), '15:29:42'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(11, 12), datetime.time(12, 0)), '15:11:11'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(12, 0), datetime.time(12, 48)), '12:35:05'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(12, 48), datetime.time(13, 36)), '15:41:12'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(13, 36), datetime.time(14, 24)), '15:49:28'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(14, 24), datetime.time(15, 12)), '14:30:45'], [[[(76, 75), 0], [(1, 40), 26], [(56, 80), 6], [(76, 75), 0]], (datetime.time(15, 12), datetime.time(16, 0)), '15:28:28']]",2995047.3684963738,3313.326594873338,893932,5010
3,63,10,100,"['08:00:00', '16:00:00']","[[[[(76, 75), 0], [(80, 36), 12], [(65, 54), 6], [(100, 26), 5], [(60, 14), 11], [(31, 41), 22], [(94, 45), 5], [(76, 75), 0]], (datetime.time(8, 0), datetime.time(8, 48)), '08:15:41'], [[[(76, 75), 0], [(91, 14), 26], [(30, 45), 63], [(25, 86), 11], [(71, 41), 20], [(35, 100), 15], [(61, 54), 2], [(25, 76), 6], [(41, 75), 16], [(75, 80), 21], [(86, 31), 5], [(70, 95), 17], [(46, 1), 16], [(56, 80), 6], [(15, 91), 12], [(51, 91), 12], [(71, 35), 7], [(34, 50), 17], [(41, 44), 10], [(20, 0), 17], [(61, 94), 15], [(61, 70), 26], [(1, 40), 26], [(19, 11), 21], [(95, 45), 22], [(39, 35), 21], [(69, 50), 12], [(41, 1), 22], [(21, 11), 22], [(55, 25), 20], [(40, 49), 17], [(40, 51), 5], [(41, 55), 1], [(76, 90), 17], [(99, 91), 10], [(20, 71), 16], [(21, 15), 15], [(6, 55), 25], [(19, 71), 21], [(55, 10), 2], [(85, 76), 26], [(75, 16), 1], [(76, 75), 0]], (datetime.time(8, 48), datetime.time(9, 36)), '09:25:07'], [[[(76, 75), 0], [(65, 85), 11], [(60, 94), 25], [(74, 99), 16], [(76, 75), 0]], (datetime.time(9, 36), datetime.time(10, 24)), '10:52:51'], [[[(76, 75), 0], [(46, 5), 20], [(76, 75), 0]], (datetime.time(10, 24), datetime.time(11, 12)), '14:45:03'], [[[(76, 75), 0], [(60, 34), 17], [(60, 54), 25], [(56, 81), 1], [(21, 85), 10], [(76, 75), 0]], (datetime.time(11, 12), datetime.time(12, 0)), '11:28:27'], [[[(76, 75), 0], [(16, 89), 2], [(79, 81), 16], [(34, 36), 21], [(100, 6), 6], [(40, 96), 25], [(76, 75), 0]], (datetime.time(12, 0), datetime.time(12, 48)), '12:29:37'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(12, 48), datetime.time(13, 36)), '14:57:22'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(13, 36), datetime.time(14, 24)), '13:43:05'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(14, 24), datetime.time(15, 12)), '14:54:50'], [[[(76, 75), 0], [(75, 14), 2], [(36, 61), 12], [(76, 75), 0]], (datetime.time(15, 12), datetime.time(16, 0)), '15:37:53']]",2243692.672428448,3411.906222601706,662932,3010
4,63,10,100,"['08:00:00', '16:00:00']","[[[[(76, 75), 0], [(56, 80), 6], [(60, 14), 11], [(100, 26), 5], [(76, 75), 0]], (datetime.time(8, 0), datetime.time(8, 48)), '08:32:27'], [[[(76, 75), 0], [(71, 41), 20], [(20, 71), 16], [(55, 10), 2], [(30, 45), 63], [(40, 49), 17], [(19, 71), 21], [(1, 40), 26], [(61, 70), 26], [(16, 89), 2], [(60, 94), 25], [(56, 81), 1], [(6, 55), 25], [(21, 11), 22], [(74, 99), 16], [(15, 91), 12], [(20, 0), 17], [(76, 90), 17], [(46, 1), 16], [(91, 14), 26], [(85, 76), 26], [(86, 31), 5], [(31, 41), 22], [(41, 44), 10], [(94, 45), 5], [(69, 50), 12], [(34, 50), 17], [(39, 35), 21], [(55, 25), 20], [(46, 5), 20], [(61, 54), 2], [(99, 91), 10], [(41, 1), 22], [(65, 85), 11], [(41, 55), 1], [(80, 36), 12], [(75, 16), 1], [(34, 36), 21], [(100, 6), 6], [(21, 15), 15], [(60, 54), 25], [(61, 94), 15], [(60, 34), 17], [(76, 75), 0]], (datetime.time(8, 48), datetime.time(9, 36)), '09:26:40'], [[[(76, 75), 0], [(25, 86), 11], [(70, 95), 17], [(65, 54), 6], [(40, 51), 5], [(41, 75), 16], [(76, 75), 0]], (datetime.time(9, 36), datetime.time(10, 24)), '12:59:36'], [[[(76, 75), 0], [(51, 91), 12], [(76, 75), 0]], (datetime.time(10, 24), datetime.time(11, 12)), '13:40:39'], [[[(76, 75), 0], [(40, 96), 25], [(75, 80), 21], [(25, 76), 6], [(75, 14), 2], [(76, 75), 0]], (datetime.time(11, 12), datetime.time(12, 0)), '11:50:09'], [[[(76, 75), 0], [(35, 100), 15], [(76, 75), 0]], (datetime.time(12, 0), datetime.time(12, 48)), '15:14:23'], [[[(76, 75), 0], [(19, 11), 21], [(79, 81), 16], [(21, 85), 10], [(76, 75), 0]], (datetime.time(12, 48), datetime.time(13, 36)), '15:08:06'], [[[(76, 75), 0], [(71, 35), 7], [(76, 75), 0]], (datetime.time(13, 36), datetime.time(14, 24)), '13:41:36'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(14, 24), datetime.time(15, 12)), '14:39:19'], [[[(76, 75), 0], [(36, 61), 12], [(95, 45), 22], [(76, 75), 0]], (datetime.time(15, 12), datetime.time(16, 0)), '15:34:56']]",2687716.407635818,3429.699948236956,686932,4010
5,63,10,100,"['08:00:00', '16:00:00']","[[[[(76, 75), 0], [(55, 10), 2], [(80, 36), 12], [(41, 55), 1], [(20, 71), 16], [(21, 85), 10], [(51, 91), 12], [(39, 35), 21], [(25, 76), 6], [(34, 50), 17], [(60, 94), 25], [(55, 25), 20], [(76, 90), 17], [(85, 76), 26], [(21, 15), 15], [(56, 80), 6], [(41, 75), 16], [(94, 45), 5], [(70, 95), 17], [(6, 55), 25], [(69, 50), 12], [(40, 96), 25], [(21, 11), 22], [(61, 54), 2], [(86, 31), 5], [(46, 1), 16], [(60, 54), 25], [(61, 94), 15], [(1, 40), 26], [(46, 5), 20], [(40, 49), 17], [(41, 44), 10], [(71, 41), 20], [(34, 36), 21], [(15, 91), 12], [(75, 80), 21], [(60, 14), 11], [(36, 61), 12], [(25, 86), 11], [(99, 91), 10], [(20, 0), 17], [(74, 99), 16], [(61, 70), 26], [(79, 81), 16], [(60, 34), 17], [(75, 16), 1], [(65, 54), 6], [(95, 45), 22], [(41, 1), 22], [(19, 71), 21], [(56, 81), 1], [(40, 51), 5], [(91, 14), 26], [(30, 45), 63], [(100, 6), 6], [(65, 85), 11], [(71, 35), 7], [(31, 41), 22], [(16, 89), 2], [(76, 75), 0]], (datetime.time(8, 0), datetime.time(8, 48)), '08:03:14'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(8, 48), datetime.time(9, 36)), '15:47:59'], [[[(76, 75), 0], [(75, 14), 2], [(76, 75), 0]], (datetime.time(9, 36), datetime.time(10, 24)), '10:22:17'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(10, 24), datetime.time(11, 12)), '11:00:36'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(11, 12), datetime.time(12, 0)), '11:36:47'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(12, 0), datetime.time(12, 48)), '12:06:22'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(12, 48), datetime.time(13, 36)), '15:01:45'], [[[(76, 75), 0], [(76, 75), 0]], (datetime.time(13, 36), datetime.time(14, 24)), '14:23:43'], [[[(76, 75), 0], [(100, 26), 5], [(76, 75), 0]], (datetime.time(14, 24), datetime.time(15, 12)), '15:01:20'], [[[(76, 75), 0], [(19, 11), 21], [(35, 100), 15], [(76, 75), 0]], (datetime.time(15, 12), datetime.time(16, 0)), '15:23:43']]",2957177.681633901,3368.056791251135,889932,2010
